bfa799ad17f2,0.04%,19.27MiB / 15.51GiB,0B / 0B,0B / 0B,12
2fb4ba1a9f7d,0.00%,22.44MiB / 15.51GiB,0B / 0B,0B / 0B,14
c8a7857ca99a,0.06%,344.1MiB / 15.51GiB,676kB / 6.17MB,0B / 0B,48
42b743273e09,0.00%,30.14MiB / 15.51GiB,23.7kB / 21.2kB,0B / 0B,17
56f2a3e068ca,2.05%,51.79MiB / 15.51GiB,9.28kB / 1.43kB,0B / 0B,30
bfa799ad17f2,0.00%,19.27MiB / 15.51GiB,0B / 0B,0B / 0B,12
2fb4ba1a9f7d,0.00%,22.45MiB / 15.51GiB,0B / 0B,0B / 0B,14
c8a7857ca99a,0.10%,344.1MiB / 15.51GiB,677kB / 6.17MB,0B / 0B,48
42b743273e09,0.00%,30.14MiB / 15.51GiB,24.9kB / 22.2kB,0B / 0B,17
56f2a3e068ca,3.41%,51.64MiB / 15.51GiB,9.49kB / 1.43kB,0B / 0B,30
